type,lang,text,name,url,picture
tweet,en,@inventaire_io is awesome! It's inter-library loan for personal libraries. Having fun loading my library now,Chad Whitacre,https://twitter.com/whit537/status/739205680389840897,avatar_twitter_whit537
tweet,fr,"TO-DO : inviter tous mes potes sur @inventaire_io pour enfin savoir à qui j'ai emprunté ce super bouquin, pris en otage chez wam",schanoird,https://twitter.com/schanoird/status/702544469212729344,avatar_twitter_schanoird
tweet,en,Awesome new project building on top of Wikidata,Wikidata,https://twitter.com/wikidata/status/565146260290940929,avatar_twitter_wikidata
article,en,Mapping resources using open knowledge: starting with books!,Maxime,http://blog.inventaire.io/post/110540440753/mapping-resources-using-open-knowledge-starting,avatar_twitter_maxlath
article,fr,"Entretien avec Maxime Lathuilière, fondateur d’Inventaire.io",Bibliobsession ,http://www.bibliobsession.net/2016/01/27/entretien-maxime-lathuiliere-fondateur-dinventaire-io/,avatar_twitter_Silvae
article,fr,12 initiatives – Une éphéméride solidaire et positive pour 2016,Alternatives en marche,http://www.alternativesenmarche.com/2016/01/12-initiatives-une-ephemeride-solidaire-et-positive-pour-2016/,avatar_twitter_Alter_en_marche
tweet,fr,"""Inventaire"", un site de prêt de livres en open-source par @maxlath, à relayer et à adopter !",NeilJomunsi,https://twitter.com/NeilJomunsi/status/642268997547913216,avatar_twitter_NeilJomunsi
tweet,en,"Reading @inventaire_io's roadmap: ""Clues on the revenue model<br>- it won't be advertising<br>- it won't be selling users data""<br>I love you, guys !",PetiPandaRou,https://twitter.com/PetiPandaRou/status/649483073176866816,avatar_twitter_PetiPandaRou
tweet,fr,"Un beau partenariat ""Public-Privé-Communs"" pourrait se lancer dans le. domaine du livre autour d'Inventaire.io",Calimaq,https://twitter.com/Calimaq/status/692298036819673089,avatar_twitter_Calimaq
tweet,en,Contribute to @inventaire_io library development > [How you can contribute](https://wiki.inventaire.io/wiki/How-to-contribute). This project's doing everything right #opensource #openknowledge,chroma_space,https://twitter.com/chroma_space/status/699379445354856455,avatar_twitter_chroma_space
article,en,Wikidata: The New Rosetta Stone,Centre de Cultura Contemporània de Barcelona Lab,http://blogs.cccb.org/lab/en/article_la-nova-pedra-de-rosetta,avatar_twitter_CCCBLab
video,fr,Présentation d'inventaire.io @ Hackadon Paris 2015,,https://vimeo.com/156065434,thumbnail_vimeo_556982948
video,en,Mapping resources with open knowledge - Talk @ OuiShare Labs Camp #3,,https://www.youtube.com/watch?v=LZgWXEShJoY&index=1&list=PLcBPANOv7L2Tm5cKOj8_fh9JHuPuHErpx,thumbnail_youtube_LZgWXEShJoY
article,fr,Les Modèles économiques ouverts,Les Bricodeurs,http://lesbricodeurs.fr/articles/Les-Mod%C3%A8les-Economiques-Ouverts,avatar_twitter_LesBricodeurs
article,es,"Entrevista con Maxime Lathuilière, fundador de Inventaire.io",Javier Silvestre Pavón,http://diarium.usal.es/experimentrado/pasarelas/en-espanol/bibliobsession/entrevista-con-maxime-lathuiliere-fundador-de-inventaire-io/,logo_universidad_salamanca
tweet,en,awesome collaborative library initiative h/t @inventaire_io,Common Libraries,https://twitter.com/commonlibraries/status/802833407541702656,avatar_twitter_commonlibraries
video,fr,Discussion autour d’inventaire.io avec Xavier Coadic @ SummerCamp Kerbors 2016,Xavier Coadic,https://videos.lescommuns.org/videos/watch/b37919b3-46b8-4ba2-a643-06643bbb6e92,thumbnail_peertube_kerbors
video,fr,Masterclass inventaire.io @ OpenCityLab - Lyon 26-01-2017,La MYNE,https://www.youtube.com/watch?v=wBlFTNbErUY&list=PLcBPANOv7L2Tm5cKOj8_fh9JHuPuHErpx&index=4,thumbnail_youtube_wBlFTNbErUY
audio,fr,Entretien avec Maxime Lathuilière,Sylvia Fredriksson,https://soundcloud.com/sylviafredriksson/sets/maxime-lathuiliere,avatar_twitter_s_fredriksson
article,en,"Ethical alternatives to Amazon Books, Kindle, Audible and Goodreads",switching.social,https://switching.social/ethical-alternatives-to-amazon-and-goodreads/,avatar_twitter_SwitchingSocial
