type,lang,text,name,url,picture
tweet,en,@inventaire_io is awesome! It's inter-library loan for personal libraries. Having fun loading my library now,Chad Whitacre,https://twitter.com/whit537/status/739205680389840897,/ipfs/QmbZesWMMjPiCM2dpYfj4f5orfitARcNGReccBdWfRvwFC
tweet,fr,"TO-DO : inviter tous mes potes sur @inventaire_io pour enfin savoir à qui j'ai emprunté ce super bouquin, pris en otage chez wam",schanoird,https://twitter.com/schanoird/status/702544469212729344,/ipfs/QmWvaKU4nXbGPhzuZ3CeURCv6PsKeTXRwBVm92H3ijeiAJ
tweet,en,Awesome new project building on top of Wikidata,Wikidata,https://twitter.com/wikidata/status/565146260290940929,/ipfs/QmS7AubnPtEynHMTyfMeLn69p8csBorHEehkorCZE1duJK
article,en,Mapping resources using open knowledge: starting with books!,Maxime,http://blog.inventaire.io/post/110540440753/mapping-resources-using-open-knowledge-starting,/ipfs/QmZNjKz3dovjwK2KY9yM9VFXQAY4FQ3EgcnxrLXVZxG5V5
article,fr,"Entretien avec Maxime Lathuilière, fondateur d’Inventaire.io",Bibliobsession ,http://www.bibliobsession.net/2016/01/27/entretien-maxime-lathuiliere-fondateur-dinventaire-io/,/ipfs/QmS3hWoEpE1WNxKj7Mw7YGgAoPBStWpzd3s5mQGSVHmr9X
article,fr,12 initiatives – Une éphéméride solidaire et positive pour 2016,Alternatives en marche,http://www.alternativesenmarche.com/2016/01/12-initiatives-une-ephemeride-solidaire-et-positive-pour-2016/,/ipfs/QmUeUpGrva7bS4cjKjTBJzNhK2GXEftTXWFBJ6DZBS1MM8
tweet,fr,"""Inventaire"", un site de prêt de livres en open-source par @maxlath, à relayer et à adopter !",NeilJomunsi,https://twitter.com/NeilJomunsi/status/642268997547913216,/ipfs/QmSDS44QTYgDNokS3cCc5J54j9DvbKmiNamJTca4WadjUg
tweet,en,"Reading @inventaire_io's roadmap: ""Clues on the revenue model<br>- it won't be advertising<br>- it won't be selling users data""<br>I love you, guys !",PetiPandaRou,https://twitter.com/PetiPandaRou/status/649483073176866816,/ipfs/QmZQhRfw6dJxZ8VGPe6FyM3QpkC1smtfbczg9S85SZP17t
tweet,fr,"Un beau partenariat ""Public-Privé-Communs"" pourrait se lancer dans le. domaine du livre autour d'Inventaire.io",Calimaq,https://twitter.com/Calimaq/status/692298036819673089,/ipfs/QmXfQ4nXKRVXPEaKcEDrwPyFwMGqhnX6jz25Tp7s7wt2ai
tweet,en,Contribute to @inventaire_io library development > [How you can contribute](https://wiki.inventaire.io/wiki/How-to-contribute). This project's doing everything right #opensource #openknowledge,chroma_space,https://twitter.com/chroma_space/status/699379445354856455,/ipfs/QmU743mchxUwFV3WDZhKFSCtcwJXHp5xEgzvQdwBEdDuwC
article,fr,Littérature en partage,MoustiqueMag,https://twitter.com/inventaire_io/status/704240722761773056,
article,en,Wikidata: The New Rosetta Stone,Centre de Cultura Contemporània de Barcelona Lab,http://blogs.cccb.org/lab/en/article_la-nova-pedra-de-rosetta,/ipfs/QmTxQyKcEHSkW981uuzKdeXAYLdvJqs3S1CExVpvf1gU3d
video,fr,Présentation d'inventaire.io @ Hackadon Paris 2015,,https://vimeo.com/156065434,/ipfs/QmW6dcn2vurqNC3PfmHiWSj99bhoKoaF1qWE4dwWpi6yXr
video,en,Mapping resources with open knowledge - Talk @ OuiShare Labs Camp #3,,https://www.youtube.com/watch?v=LZgWXEShJoY&index=1&list=PLcBPANOv7L2Tm5cKOj8_fh9JHuPuHErpx,/ipfs/QmVYK4aMKwiDmYwXNXRcAb5YSj45orj43sA6rNTqgyd2er
article,fr,Les Modèles économiques ouverts,Les Bricodeurs,http://lesbricodeurs.fr/articles/Les-Mod%C3%A8les-Economiques-Ouverts,/ipfs/QmUKa5HooADaWN3o1qmfysgoMNtfypKQom2bcyZp96oCkm
article,es,"Entrevista con Maxime Lathuilière, fundador de Inventaire.io",Javier Silvestre Pavón,http://diarium.usal.es/experimentrado/pasarelas/en-espanol/bibliobsession/entrevista-con-maxime-lathuiliere-fundador-de-inventaire-io/,/ipfs/QmSMYSJ8sSEZDvkLAbgLiQe2QN3kwCzA1RhgSskiv1PzXP
tweet,en,awesome collaborative library initiative h/t @inventaire_io,Common Libraries,https://twitter.com/commonlibraries/status/802833407541702656,/ipfs/QmajTFAReNJfqCbjfXpB33nPdYFfjqym4tWSzaFjSZr1Dn
video,fr,Discussion autour d’inventaire.io avec Xavier Coadic @ SummerCamp Kerbors 2016,Xavier Coadic,https://www.youtube.com/watch?v=VzdWvbtM86M&list=PLcBPANOv7L2Tm5cKOj8_fh9JHuPuHErpx&index=3,/ipfs/Qmc53TD8PveLeo6aVQRHdxoWy8N2RtfMbDyrmXPe8mNkvZ
video,fr,Masterclass inventaire.io @ OpenCityLab - Lyon 26-01-2017,La MYNE,https://www.youtube.com/watch?v=wBlFTNbErUY&list=PLcBPANOv7L2Tm5cKOj8_fh9JHuPuHErpx&index=4,/ipfs/QmRh5jdsyQFDx52TaU5Hqe1439UNXe8yHhPqiocupr9RAd
audio,fr,Entretien avec Maxime Lathuilière,Sylvia Fredriksson,https://soundcloud.com/sylviafredriksson/sets/maxime-lathuiliere,/ipfs/QmQQhX4BYrxfUmaHZJCnpgGZrP4PiQ7g5G26GaJ7nGK1SL
